Dry_Clover_g_mean,Dry_Dead_g_mean,Dry_Green_g_mean,Dry_Total_g_mean,GDM_g_mean,Dry_Clover_g_std,Dry_Dead_g_std,Dry_Green_g_std,Dry_Total_g_std,GDM_g_std,sample_count
25.2415756097561,4.871909756097561,2.9225878048780487,33.036082926829266,28.164160975609757,18.964393836869405,6.199162543311995,4.855899306729657,20.130764427076567,17.828844086590106,41
0.0,25.55645714285714,60.761399999999995,86.31785714285715,60.761399999999995,0.0,17.373347519808068,31.074974007176042,38.40709862600564,31.074974007176042,28
1.00981,14.741219999999998,30.798969999999997,46.55,31.808780000000002,3.1932996040146313,5.07836979218944,14.127862359894053,17.345908899667254,16.575708993437086,10
0.0,4.806259090909091,49.84828636363636,54.654545454545456,49.84828636363636,0.0,11.04590111328348,27.241882431605642,28.98427697370268,27.241882431605642,22
0.0,30.381700000000002,17.1813,47.563,17.1813,0.0,0.5915655331406674,4.740443861074615,5.332009394215278,4.740443861074615,2
0.0,4.6154125,95.6470875,100.2625,95.6470875,0.0,3.8596032199613104,32.23894211665839,31.05193518239126,32.23894211665839,8
4.842545454545455,23.297309090909092,11.523772727272728,39.663636363636364,16.366327272727275,4.133507642756606,7.174967871071556,4.2803789874474685,7.803880153778983,6.289286817929503,11
8.407378571428572,8.651635714285714,34.350276190476194,51.409285714285716,42.75765,12.474383087704092,7.249037483115963,16.281682860283023,21.563338172367665,20.9193091571592,42
10.532314285714284,20.1632,24.861600000000003,55.55714285714286,35.393942857142854,7.52172057010641,9.272876421046492,5.022241624347969,11.57480844231085,10.137941322717209,7
3.3112375,7.2387250000000005,25.237537500000002,35.7875,28.548775,3.3496929172420313,4.552568084922744,9.07358543259932,9.193388540529703,8.358720836647196,8
0.5372290322580645,12.786346774193548,24.184764516129032,37.50336129032258,24.721995161290323,1.1584891039890461,9.048264854306485,17.988428696376506,17.844611521820994,17.737763307870637,62
5.3511091836734686,12.901495918367347,20.636436734693877,38.889030612244895,25.987538775510206,7.405080717215141,14.214236452791242,14.15511034608974,23.224810561660835,18.130924404849225,98
9.053333333333335,0.0,0.0,9.053333333333335,9.053333333333335,2.621189297500915,0.0,0.0,2.621189297500915,2.621189297500915,3
32.29,0.0,0.0,32.29,32.29,21.369939166970035,0.0,0.0,21.369939166970035,21.369939166970035,5
7.601649999999999,15.794640000000001,1.2458500000000001,24.64217,8.84753,5.660843639178017,9.173241227396126,1.0704092138056363,12.21493852752531,5.96294297959396,10
